date,product_id,region,stock_on_hand,stock_out_flag
2026-05-28,P301,Region X,470,0
2026-05-28,P301,Region Y,172,0
2026-05-28,P301,Region Z,461,0
2026-05-28,P302,Region X,153,0
2026-05-28,P302,Region Y,254,0
2026-05-28,P302,Region Z,217,0
2026-05-28,P303,Region X,104,0
2026-05-28,P303,Region Y,313,0
2026-05-28,P303,Region Z,286,0
2026-05-28,P304,Region X,94,0
2026-05-28,P304,Region Y,49,0
2026-05-28,P304,Region Z,80,0
2026-05-28,P401,Region X,128,0
2026-05-28,P401,Region Y,70,0
2026-05-28,P401,Region Z,350,0
2026-05-28,P402,Region X,377,0
2026-05-28,P402,Region Y,92,0
2026-05-28,P402,Region Z,44,0
2026-05-28,P403,Region X,302,0
2026-05-28,P403,Region Y,428,0
2026-05-28,P403,Region Z,375,0
2026-05-29,P101,Region X,306,0
2026-05-29,P101,Region Y,288,0
2026-05-29,P101,Region Z,390,0
2026-05-29,P102,Region X,279,0
2026-05-29,P102,Region Y,415,0
2026-05-29,P102,Region Z,409,0
2026-05-29,P103,Region X,182,0
2026-05-29,P103,Region Y,496,0
2026-05-29,P103,Region Z,497,0
2026-05-29,P104,Region X,336,0
2026-05-29,P104,Region Y,173,0
2026-05-29,P104,Region Z,420,0
2026-05-29,P201,Region X,73,0
2026-05-29,P201,Region Y,319,0
2026-05-29,P201,Region Z,364,0
2026-05-29,P202,Region X,73,0
2026-05-29,P202,Region Y,361,0
2026-05-29,P202,Region Z,104,0
2026-05-29,P203,Region X,109,0
2026-05-29,P203,Region Y,56,0
2026-05-29,P203,Region Z,480,0
2026-05-29,P204,Region X,488,0
2026-05-29,P204,Region Y,212,0
2026-05-29,P204,Region Z,410,0
2026-05-29,P301,Region X,464,0
2026-05-29,P301,Region Y,292,0
2026-05-29,P301,Region Z,294,0
2026-05-29,P302,Region X,207,0
2026-05-29,P302,Region Y,314,0
2026-05-29,P302,Region Z,207,0
2026-05-29,P303,Region X,175,0
2026-05-29,P303,Region Y,421,0
2026-05-29,P303,Region Z,331,0
2026-05-29,P304,Region X,123,0
2026-05-29,P304,Region Y,129,0
2026-05-29,P304,Region Z,452,0
2026-05-29,P401,Region X,496,0
2026-05-29,P401,Region Y,276,0
2026-05-29,P401,Region Z,358,0
2026-05-29,P402,Region X,473,0
2026-05-29,P402,Region Y,68,0
2026-05-29,P402,Region Z,420,0
2026-05-29,P403,Region X,136,0
2026-05-29,P403,Region Y,440,0
2026-05-29,P403,Region Z,240,0
2026-05-30,P101,Region X,396,0
2026-05-30,P101,Region Y,374,0
2026-05-30,P101,Region Z,291,0
2026-05-30,P102,Region X,453,0
2026-05-30,P102,Region Y,461,0
2026-05-30,P102,Region Z,206,0
2026-05-30,P103,Region X,367,0
2026-05-30,P103,Region Y,99,0
2026-05-30,P103,Region Z,221,0
2026-05-30,P104,Region X,416,0
2026-05-30,P104,Region Y,222,0
2026-05-30,P104,Region Z,113,0
2026-05-30,P201,Region X,265,0
2026-05-30,P201,Region Y,392,0
2026-05-30,P201,Region Z,436,0
2026-05-30,P202,Region X,216,0
2026-05-30,P202,Region Y,128,0
2026-05-30,P202,Region Z,486,0
2026-05-30,P203,Region X,68,0
2026-05-30,P203,Region Y,370,0
2026-05-30,P203,Region Z,401,0
2026-05-30,P204,Region X,223,0
2026-05-30,P204,Region Y,279,0
2026-05-30,P204,Region Z,237,0
2026-05-30,P301,Region X,191,0
2026-05-30,P301,Region Y,220,0
2026-05-30,P301,Region Z,408,0
2026-05-30,P302,Region X,419,0
2026-05-30,P302,Region Y,230,0
2026-05-30,P302,Region Z,153,0
2026-05-30,P303,Region X,306,0
2026-05-30,P303,Region Y,278,0
2026-05-30,P303,Region Z,495,0
2026-05-30,P304,Region X,192,0
2026-05-30,P304,Region Y,87,0
2026-05-30,P304,Region Z,80,0
2026-05-30,P401,Region X,163,0
2026-05-30,P401,Region Y,469,0
2026-05-30,P401,Region Z,487,0
2026-05-30,P402,Region X,424,0
2026-05-30,P402,Region Y,377,0
2026-05-30,P402,Region Z,281,0
2026-05-30,P403,Region X,295,0
2026-05-30,P403,Region Y,380,0
2026-05-30,P403,Region Z,299,0
2026-05-31,P101,Region X,423,0
2026-05-31,P101,Region Y,273,0
2026-05-31,P101,Region Z,259,0
2026-05-31,P102,Region X,452,0
2026-05-31,P102,Region Y,176,0
2026-05-31,P102,Region Z,190,0
2026-05-31,P103,Region X,248,0
2026-05-31,P103,Region Y,108,0
2026-05-31,P103,Region Z,474,0
2026-05-31,P104,Region X,477,0
2026-05-31,P104,Region Y,116,0
2026-05-31,P104,Region Z,257,0
2026-05-31,P201,Region X,71,0
2026-05-31,P201,Region Y,194,0
2026-05-31,P201,Region Z,464,0
2026-05-31,P202,Region X,161,0
2026-05-31,P202,Region Y,266,0
2026-05-31,P202,Region Z,241,0
2026-05-31,P203,Region X,422,0
2026-05-31,P203,Region Y,293,0
2026-05-31,P203,Region Z,161,0
2026-05-31,P204,Region X,287,0
2026-05-31,P204,Region Y,318,0
2026-05-31,P204,Region Z,298,0
2026-05-31,P301,Region X,358,0
2026-05-31,P301,Region Y,275,0
2026-05-31,P301,Region Z,150,0
2026-05-31,P302,Region X,190,0
2026-05-31,P302,Region Y,388,0
2026-05-31,P302,Region Z,80,0
2026-05-31,P303,Region X,210,0
2026-05-31,P303,Region Y,177,0
2026-05-31,P303,Region Z,51,0
2026-05-31,P304,Region X,182,0
2026-05-31,P304,Region Y,329,0
2026-05-31,P304,Region Z,433,0
2026-05-31,P401,Region X,293,0
2026-05-31,P401,Region Y,363,0
2026-05-31,P401,Region Z,248,0
2026-05-31,P402,Region X,199,0
2026-05-31,P402,Region Y,432,0
2026-05-31,P402,Region Z,287,0
2026-05-31,P403,Region X,189,0
2026-05-31,P403,Region Y,270,0
2026-05-31,P403,Region Z,268,0
2026-06-01,P101,Region X,143,0
2026-06-01,P101,Region Y,321,0
2026-06-01,P101,Region Z,188,0
2026-06-01,P102,Region X,393,0
2026-06-01,P102,Region Y,61,0
2026-06-01,P102,Region Z,78,0
2026-06-01,P103,Region X,84,0
2026-06-01,P103,Region Y,195,0
2026-06-01,P103,Region Z,403,0
2026-06-01,P104,Region X,140,0
2026-06-01,P104,Region Y,382,0
2026-06-01,P104,Region Z,412,0
2026-06-01,P201,Region X,105,0
2026-06-01,P201,Region Y,215,0
2026-06-01,P201,Region Z,174,0
2026-06-01,P202,Region X,172,0
2026-06-01,P202,Region Y,255,0
2026-06-01,P202,Region Z,178,0
2026-06-01,P203,Region X,386,0
2026-06-01,P203,Region Y,108,0
2026-06-01,P203,Region Z,248,0
2026-06-01,P204,Region X,155,0
2026-06-01,P204,Region Y,132,0
2026-06-01,P204,Region Z,254,0
2026-06-01,P301,Region X,302,0
2026-06-01,P301,Region Y,455,0
2026-06-01,P301,Region Z,114,0
2026-06-01,P302,Region X,387,0
2026-06-01,P302,Region Y,208,0
2026-06-01,P302,Region Z,101,0
2026-06-01,P303,Region X,239,0
2026-06-01,P303,Region Y,344,0
2026-06-01,P303,Region Z,371,0
2026-06-01,P304,Region X,398,0
2026-06-01,P304,Region Y,411,0
2026-06-01,P304,Region Z,70,0
2026-06-01,P401,Region X,252,0
2026-06-01,P401,Region Y,178,0
2026-06-01,P401,Region Z,432,0
2026-06-01,P402,Region X,437,0
2026-06-01,P402,Region Y,411,0
2026-06-01,P402,Region Z,205,0
2026-06-01,P403,Region X,456,0
2026-06-01,P403,Region Y,235,0
2026-06-01,P403,Region Z,279,0
2026-06-02,P101,Region X,65,0
2026-06-02,P101,Region Y,440,0
2026-06-02,P101,Region Z,245,0
2026-06-02,P102,Region X,381,0
2026-06-02,P102,Region Y,118,0
2026-06-02,P102,Region Z,372,0
2026-06-02,P103,Region X,344,0
2026-06-02,P103,Region Y,367,0
2026-06-02,P103,Region Z,123,0
2026-06-02,P104,Region X,239,0
2026-06-02,P104,Region Y,464,0
2026-06-02,P104,Region Z,393,0
2026-06-02,P201,Region X,216,0
2026-06-02,P201,Region Y,275,0
2026-06-02,P201,Region Z,370,0
2026-06-02,P202,Region X,413,0
2026-06-02,P202,Region Y,269,0
2026-06-02,P202,Region Z,317,0
2026-06-02,P203,Region X,60,0
2026-06-02,P203,Region Y,74,0
2026-06-02,P203,Region Z,337,0
2026-06-02,P204,Region X,66,0
2026-06-02,P204,Region Y,62,0
2026-06-02,P204,Region Z,103,0
2026-06-02,P301,Region X,239,0
2026-06-02,P301,Region Y,389,0
2026-06-02,P301,Region Z,335,0
2026-06-02,P302,Region X,98,0
2026-06-02,P302,Region Y,83,0
2026-06-02,P302,Region Z,289,0
2026-06-02,P303,Region X,170,0
2026-06-02,P303,Region Y,349,0
2026-06-02,P303,Region Z,249,0
2026-06-02,P304,Region X,169,0
2026-06-02,P304,Region Y,137,0
2026-06-02,P304,Region Z,329,0
2026-06-02,P401,Region X,201,0
2026-06-02,P401,Region Y,217,0
2026-06-02,P401,Region Z,419,0
2026-06-02,P402,Region X,79,0
2026-06-02,P402,Region Y,166,0
2026-06-02,P402,Region Z,62,0
2026-06-02,P403,Region X,495,0
2026-06-02,P403,Region Y,209,0
2026-06-02,P403,Region Z,240,0
2026-06-03,P101,Region X,178,0
2026-06-03,P101,Region Y,355,0
2026-06-03,P101,Region Z,385,0
2026-06-03,P102,Region X,305,0
2026-06-03,P102,Region Y,53,0
2026-06-03,P102,Region Z,184,0
2026-06-03,P103,Region X,374,0
2026-06-03,P103,Region Y,459,0
2026-06-03,P103,Region Z,441,0
2026-06-03,P104,Region X,143,0
2026-06-03,P104,Region Y,214,0
2026-06-03,P104,Region Z,351,0
2026-06-03,P201,Region X,243,0
2026-06-03,P201,Region Y,161,0
2026-06-03,P201,Region Z,388,0
2026-06-03,P202,Region X,237,0
2026-06-03,P202,Region Y,463,0
2026-06-03,P202,Region Z,405,0
2026-06-03,P203,Region X,299,0
2026-06-03,P203,Region Y,382,0
2026-06-03,P203,Region Z,121,0
2026-06-03,P204,Region X,220,0
2026-06-03,P204,Region Y,278,0
2026-06-03,P204,Region Z,120,0
2026-06-03,P301,Region X,42,0
2026-06-03,P301,Region Y,64,0
2026-06-03,P301,Region Z,259,0
2026-06-03,P302,Region X,68,0
2026-06-03,P302,Region Y,266,0
2026-06-03,P302,Region Z,373,0
2026-06-03,P303,Region X,172,0
2026-06-03,P303,Region Y,173,0
2026-06-03,P303,Region Z,107,0
2026-06-03,P304,Region X,448,0
2026-06-03,P304,Region Y,285,0
2026-06-03,P304,Region Z,215,0
2026-06-03,P401,Region X,119,0
2026-06-03,P401,Region Y,361,0
2026-06-03,P401,Region Z,237,0
2026-06-03,P402,Region X,132,0
2026-06-03,P402,Region Y,425,0
2026-06-03,P402,Region Z,468,0
2026-06-03,P403,Region X,420,0
2026-06-03,P403,Region Y,328,0
2026-06-03,P403,Region Z,358,0
2026-06-04,P101,Region X,171,0
2026-06-04,P101,Region Y,206,0
2026-06-04,P101,Region Z,65,0
2026-06-04,P102,Region X,307,0
2026-06-04,P102,Region Y,239,0
2026-06-04,P102,Region Z,438,0
2026-06-04,P103,Region X,72,0
2026-06-04,P103,Region Y,419,0
2026-06-04,P103,Region Z,216,0
2026-06-04,P104,Region X,230,0
2026-06-04,P104,Region Y,234,0
2026-06-04,P104,Region Z,250,0
2026-06-04,P201,Region X,146,0
2026-06-04,P201,Region Y,48,0
2026-06-04,P201,Region Z,471,0
2026-06-04,P202,Region X,255,0
2026-06-04,P202,Region Y,473,0
2026-06-04,P202,Region Z,470,0
2026-06-04,P203,Region X,255,0
2026-06-04,P203,Region Y,133,0
2026-06-04,P203,Region Z,356,0
2026-06-04,P204,Region X,237,0
2026-06-04,P204,Region Y,478,0
2026-06-04,P204,Region Z,289,0
2026-06-04,P301,Region X,414,0
2026-06-04,P301,Region Y,341,0
2026-06-04,P301,Region Z,404,0
2026-06-04,P302,Region X,461,0
2026-06-04,P302,Region Y,455,0
2026-06-04,P302,Region Z,326,0
2026-06-04,P303,Region X,262,0
2026-06-04,P303,Region Y,277,0
2026-06-04,P303,Region Z,457,0
2026-06-04,P304,Region X,387,0
2026-06-04,P304,Region Y,259,0
2026-06-04,P304,Region Z,297,0
2026-06-04,P401,Region X,68,0
2026-06-04,P401,Region Y,246,0
2026-06-04,P401,Region Z,360,0
2026-06-04,P402,Region X,439,0
2026-06-04,P402,Region Y,42,0
2026-06-04,P402,Region Z,418,0
2026-06-04,P403,Region X,148,0
2026-06-04,P403,Region Y,244,0
2026-06-04,P403,Region Z,258,0
2026-06-05,P101,Region X,441,0
2026-06-05,P101,Region Y,335,0
2026-06-05,P101,Region Z,51,0
2026-06-05,P102,Region X,422,0
2026-06-05,P102,Region Y,49,0
2026-06-05,P102,Region Z,254,0
2026-06-05,P103,Region X,397,0
2026-06-05,P103,Region Y,212,0
2026-06-05,P103,Region Z,122,0
2026-06-05,P104,Region X,41,0
2026-06-05,P104,Region Y,254,0
2026-06-05,P104,Region Z,419,0
2026-06-05,P201,Region X,334,0
2026-06-05,P201,Region Y,221,0
2026-06-05,P201,Region Z,332,0
2026-06-05,P202,Region X,490,0
2026-06-05,P202,Region Y,72,0
2026-06-05,P202,Region Z,353,0
2026-06-05,P203,Region X,349,0
2026-06-05,P203,Region Y,427,0
2026-06-05,P203,Region Z,56,0
2026-06-05,P204,Region X,119,0
2026-06-05,P204,Region Y,173,0
2026-06-05,P204,Region Z,75,0
2026-06-05,P301,Region X,211,0
2026-06-05,P301,Region Y,394,0
2026-06-05,P301,Region Z,266,0
2026-06-05,P302,Region X,179,0
2026-06-05,P302,Region Y,169,0
2026-06-05,P302,Region Z,143,0
2026-06-05,P303,Region X,417,0
2026-06-05,P303,Region Y,345,0
2026-06-05,P303,Region Z,294,0
2026-06-05,P304,Region X,472,0
2026-06-05,P304,Region Y,241,0
2026-06-05,P304,Region Z,280,0
2026-06-05,P401,Region X,287,0
2026-06-05,P401,Region Y,296,0
2026-06-05,P401,Region Z,247,0
2026-06-05,P402,Region X,65,0
2026-06-05,P402,Region Y,488,0
2026-06-05,P402,Region Z,421,0
2026-06-05,P403,Region X,379,0
2026-06-05,P403,Region Y,434,0
2026-06-05,P403,Region Z,328,0
2026-06-06,P101,Region X,459,0
2026-06-06,P101,Region Y,315,0
2026-06-06,P101,Region Z,371,0
2026-06-06,P102,Region X,236,0
2026-06-06,P102,Region Y,159,0
2026-06-06,P102,Region Z,450,0
2026-06-06,P103,Region X,285,0
2026-06-06,P103,Region Y,463,0
2026-06-06,P103,Region Z,156,0
2026-06-06,P104,Region X,358,0
2026-06-06,P104,Region Y,73,0
2026-06-06,P104,Region Z,211,0
2026-06-06,P201,Region X,268,0
2026-06-06,P201,Region Y,373,0
2026-06-06,P201,Region Z,132,0
2026-06-06,P202,Region X,248,0
2026-06-06,P202,Region Y,401,0
2026-06-06,P202,Region Z,107,0
2026-06-06,P203,Region X,212,0
2026-06-06,P203,Region Y,193,0
2026-06-06,P203,Region Z,143,0
2026-06-06,P204,Region X,343,0
2026-06-06,P204,Region Y,297,0
2026-06-06,P204,Region Z,329,0
2026-06-06,P301,Region X,71,0
2026-06-06,P301,Region Y,173,0
2026-06-06,P301,Region Z,406,0
2026-06-06,P302,Region X,125,0
2026-06-06,P302,Region Y,182,0
2026-06-06,P302,Region Z,464,0
2026-06-06,P303,Region X,208,0
2026-06-06,P303,Region Y,195,0
2026-06-06,P303,Region Z,460,0
2026-06-06,P304,Region X,496,0
2026-06-06,P304,Region Y,447,0
2026-06-06,P304,Region Z,142,0
2026-06-06,P401,Region X,492,0
2026-06-06,P401,Region Y,426,0
2026-06-06,P401,Region Z,346,0
2026-06-06,P402,Region X,345,0
2026-06-06,P402,Region Y,314,0
2026-06-06,P402,Region Z,359,0
2026-06-06,P403,Region X,491,0
2026-06-06,P403,Region Y,121,0
2026-06-06,P403,Region Z,373,0
2026-06-07,P101,Region X,42,0
2026-06-07,P101,Region Y,89,0
2026-06-07,P101,Region Z,211,0
2026-06-07,P102,Region X,475,0
2026-06-07,P102,Region Y,156,0
2026-06-07,P102,Region Z,103,0
2026-06-07,P103,Region X,419,0
2026-06-07,P103,Region Y,157,0
2026-06-07,P103,Region Z,102,0
2026-06-07,P104,Region X,148,0
2026-06-07,P104,Region Y,387,0
2026-06-07,P104,Region Z,343,0
2026-06-07,P201,Region X,102,0
2026-06-07,P201,Region Y,159,0
2026-06-07,P201,Region Z,380,0
2026-06-07,P202,Region X,385,0
2026-06-07,P202,Region Y,118,0
2026-06-07,P202,Region Z,232,0
2026-06-07,P203,Region X,409,0
2026-06-07,P203,Region Y,292,0
2026-06-07,P203,Region Z,431,0
2026-06-07,P204,Region X,192,0
2026-06-07,P204,Region Y,97,0
2026-06-07,P204,Region Z,187,0
2026-06-07,P301,Region X,481,0
2026-06-07,P301,Region Y,380,0
2026-06-07,P301,Region Z,495,0
2026-06-07,P302,Region X,157,0
2026-06-07,P302,Region Y,151,0
2026-06-07,P302,Region Z,339,0
2026-06-07,P303,Region X,383,0
2026-06-07,P303,Region Y,118,0
2026-06-07,P303,Region Z,113,0
2026-06-07,P304,Region X,72,0
2026-06-07,P304,Region Y,162,0
2026-06-07,P304,Region Z,86,0
2026-06-07,P401,Region X,198,0
2026-06-07,P401,Region Y,66,0
2026-06-07,P401,Region Z,231,0
2026-06-07,P402,Region X,450,0
2026-06-07,P402,Region Y,367,0
2026-06-07,P402,Region Z,263,0
2026-06-07,P403,Region X,464,0
2026-06-07,P403,Region Y,208,0
2026-06-07,P403,Region Z,194,0
2026-06-08,P101,Region X,269,0
2026-06-08,P101,Region Y,67,0
2026-06-08,P101,Region Z,409,0
2026-06-08,P102,Region X,443,0
2026-06-08,P102,Region Y,365,0
2026-06-08,P102,Region Z,114,0
2026-06-08,P103,Region X,431,0
2026-06-08,P103,Region Y,96,0
2026-06-08,P103,Region Z,196,0
2026-06-08,P104,Region X,424,0
2026-06-08,P104,Region Y,445,0
2026-06-08,P104,Region Z,291,0
2026-06-08,P201,Region X,418,0
2026-06-08,P201,Region Y,359,0
2026-06-08,P201,Region Z,118,0
2026-06-08,P202,Region X,485,0
2026-06-08,P202,Region Y,112,0
2026-06-08,P202,Region Z,367,0
2026-06-08,P203,Region X,273,0
2026-06-08,P203,Region Y,72,0
2026-06-08,P203,Region Z,186,0
2026-06-08,P204,Region X,66,0
2026-06-08,P204,Region Y,198,0
2026-06-08,P204,Region Z,237,0
2026-06-08,P301,Region X,224,0
2026-06-08,P301,Region Y,80,0
2026-06-08,P301,Region Z,485,0
2026-06-08,P302,Region X,44,0
2026-06-08,P302,Region Y,467,0
2026-06-08,P302,Region Z,448,0
2026-06-08,P303,Region X,491,0
2026-06-08,P303,Region Y,190,0
2026-06-08,P303,Region Z,350,0
2026-06-08,P304,Region X,354,0
2026-06-08,P304,Region Y,326,0
2026-06-08,P304,Region Z,442,0
2026-06-08,P401,Region X,178,0
2026-06-08,P401,Region Y,50,0
2026-06-08,P401,Region Z,266,0
2026-06-08,P402,Region X,146,0
2026-06-08,P402,Region Y,84,0
2026-06-08,P402,Region Z,458,0
2026-06-08,P403,Region X,441,0
2026-06-08,P403,Region Y,268,0
2026-06-08,P403,Region Z,118,0
2026-06-09,P101,Region X,417,0
2026-06-09,P101,Region Y,343,0
2026-06-09,P101,Region Z,53,0
2026-06-09,P102,Region X,212,0
2026-06-09,P102,Region Y,154,0
2026-06-09,P102,Region Z,199,0
2026-06-09,P103,Region X,350,0
2026-06-09,P103,Region Y,239,0
2026-06-09,P103,Region Z,92,0
2026-06-09,P104,Region X,370,0
2026-06-09,P104,Region Y,271,0
2026-06-09,P104,Region Z,178,0
2026-06-09,P201,Region X,103,0
2026-06-09,P201,Region Y,315,0
2026-06-09,P201,Region Z,214,0
2026-06-09,P202,Region X,489,0
2026-06-09,P202,Region Y,264,0
2026-06-09,P202,Region Z,418,0
2026-06-09,P203,Region X,145,0
2026-06-09,P203,Region Y,273,0
2026-06-09,P203,Region Z,489,0
2026-06-09,P204,Region X,286,0
2026-06-09,P204,Region Y,98,0
2026-06-09,P204,Region Z,452,0
2026-06-09,P301,Region X,94,0
2026-06-09,P301,Region Y,83,0
2026-06-09,P301,Region Z,79,0
2026-06-09,P302,Region X,389,0
2026-06-09,P302,Region Y,108,0
2026-06-09,P302,Region Z,42,0
2026-06-09,P303,Region X,101,0
2026-06-09,P303,Region Y,424,0
2026-06-09,P303,Region Z,58,0
2026-06-09,P304,Region X,438,0
2026-06-09,P304,Region Y,289,0
2026-06-09,P304,Region Z,375,0
2026-06-09,P401,Region X,341,0
2026-06-09,P401,Region Y,449,0
2026-06-09,P401,Region Z,149,0
2026-06-09,P402,Region X,360,0
2026-06-09,P402,Region Y,489,0
2026-06-09,P402,Region Z,89,0
2026-06-09,P403,Region X,70,0
2026-06-09,P403,Region Y,169,0
2026-06-09,P403,Region Z,82,0
2026-06-10,P101,Region X,100,0
2026-06-10,P101,Region Y,218,0
2026-06-10,P101,Region Z,457,0
2026-06-10,P102,Region X,229,0
2026-06-10,P102,Region Y,476,0
2026-06-10,P102,Region Z,52,0
2026-06-10,P103,Region X,193,0
2026-06-10,P103,Region Y,82,0
2026-06-10,P103,Region Z,290,0
2026-06-10,P104,Region X,194,0
2026-06-10,P104,Region Y,68,0
2026-06-10,P104,Region Z,132,0
2026-06-10,P201,Region X,205,0
2026-06-10,P201,Region Y,233,0
2026-06-10,P201,Region Z,264,0
2026-06-10,P202,Region X,187,0
2026-06-10,P202,Region Y,488,0
2026-06-10,P202,Region Z,258,0
2026-06-10,P203,Region X,271,0
2026-06-10,P203,Region Y,54,0
2026-06-10,P203,Region Z,426,0
2026-06-10,P204,Region X,156,0
2026-06-10,P204,Region Y,91,0
2026-06-10,P204,Region Z,437,0
2026-06-10,P301,Region X,240,0
2026-06-10,P301,Region Y,252,0
2026-06-10,P301,Region Z,486,0
