week_start,campaign_id,category,region,spend,impressions
2026-07-27,C-1147,Wearables,Region X,119600.05,5980002
2026-07-27,C-1148,Wearables,Region Y,62688.56,3134428
2026-07-27,C-1149,Wearables,Region Z,39447.69,1972384
2026-08-03,C-1150,Apparel,Region X,476661.87,23833093
2026-08-03,C-1151,Apparel,Region Y,264901.49,13245074
2026-08-03,C-1152,Apparel,Region Z,146885.93,7344296
2026-08-03,C-1153,Beauty,Region X,243960.75,12198037
2026-08-03,C-1154,Beauty,Region Y,147582.28,7379114
2026-08-03,C-1155,Beauty,Region Z,81664.26,4083213
2026-08-03,C-1156,Electronics,Region X,818386.1,40919304
2026-08-03,C-1157,Electronics,Region Y,473244.38,23662219
2026-08-03,C-1158,Electronics,Region Z,301424.42,15071221
2026-08-03,C-1159,Home & Kitchen,Region X,298618.72,14930935
2026-08-03,C-1160,Home & Kitchen,Region Y,156096.58,7804828
2026-08-03,C-1161,Home & Kitchen,Region Z,99995.02,4999750
2026-08-03,C-1162,Wearables,Region X,127480.35,6374017
2026-08-03,C-1163,Wearables,Region Y,70347.37,3517368
2026-08-03,C-1164,Wearables,Region Z,42724.95,2136247
2026-08-10,C-1165,Apparel,Region X,469164.7,23458235
2026-08-10,C-1166,Apparel,Region Y,257001.28,12850063
2026-08-10,C-1167,Apparel,Region Z,161577.9,8078895
2026-08-10,C-1168,Beauty,Region X,263091.08,13154553
2026-08-10,C-1169,Beauty,Region Y,141578.95,7078947
2026-08-10,C-1170,Beauty,Region Z,87976.03,4398801
2026-08-10,C-1171,Electronics,Region X,766330.41,38316520
2026-08-10,C-1172,Electronics,Region Y,457169.73,22858486
2026-08-10,C-1173,Electronics,Region Z,278810.02,13940500
2026-08-10,C-1174,Home & Kitchen,Region X,290150.0,14507500
2026-08-10,C-1175,Home & Kitchen,Region Y,172971.38,8648569
2026-08-10,C-1176,Home & Kitchen,Region Z,108304.79,5415239
2026-08-10,C-1177,Wearables,Region X,128396.92,6419845
2026-08-10,C-1178,Wearables,Region Y,62467.06,3123353
2026-08-10,C-1179,Wearables,Region Z,43002.55,2150127
2026-08-17,C-1180,Apparel,Region X,431585.24,21579262
2026-08-17,C-1181,Apparel,Region Y,263481.89,13174094
2026-08-17,C-1182,Apparel,Region Z,147407.39,7370369
2026-08-17,C-1183,Beauty,Region X,256246.47,12812323
2026-08-17,C-1184,Beauty,Region Y,143903.89,7195194
2026-08-17,C-1185,Beauty,Region Z,85468.85,4273442
2026-08-17,C-1186,Electronics,Region X,858129.67,42906483
2026-08-17,C-1187,Electronics,Region Y,1487012.608,74350630
2026-08-17,C-1188,Electronics,Region Z,270798.9,13539944
2026-08-17,C-1189,Home & Kitchen,Region X,276361.97,13818098
2026-08-17,C-1190,Home & Kitchen,Region Y,159631.75,7981587
2026-08-17,C-1191,Home & Kitchen,Region Z,101326.02,5066300
2026-08-17,C-1192,Wearables,Region X,127487.32,6374366
2026-08-17,C-1193,Wearables,Region Y,70932.8,3546639
2026-08-17,C-1194,Wearables,Region Z,39113.36,1955667
